{Flow Cell} => {qualified},0.041009464,0.962962963,0.042586751,2.775084175,26
{Electrolyte Concentration (M)_1} => {qualified},0.03785489,0.648648649,0.058359621,1.869287469,24
{Electrolyte pH_8~} => {qualified},0.041009464,0.666666667,0.061514196,1.921212121,26
{Carbon Black Derived_yes} => {qualified},0.036277603,0.348484848,0.104100946,1.004269972,23
{Metal-N Coordination Number (XAS)_4~6} => {qualified},0.045741325,0.402777778,0.113564669,1.160732323,29
{Polymer Derived_yes} => {qualified},0.03785489,0.324324324,0.116719243,0.934643735,24
{Graphitic N Ratio_50~75} => {qualified},0.042586751,0.346153846,0.123028391,0.997552448,27
{Main Transition Metal Content (wt. %)_~0.5} => {qualified},0.045741325,0.34939759,0.130914826,1.006900329,29
{Carbon Nanofiber/Nanotubes_yes} => {qualified},0.06466877,0.488095238,0.132492114,1.406601732,41
{Hard or Soft Templated_yes} => {qualified},0.050473186,0.351648352,0.143533123,1.013386613,32
{Rising Rate_8~} => {qualified},0.059936909,0.37254902,0.160883281,1.073618538,38
{Pyrolysis Temperature_~700} => {qualified},0.06466877,0.394230769,0.164037855,1.136101399,41
{Graphene/Carbon Nanosheets or other 2D Structures_yes} => {qualified},0.048895899,0.28440367,0.17192429,0.819599666,31
{BET Surface Area (m2/g)_1000~} => {qualified},0.067823344,0.390909091,0.173501577,1.126528926,43
{Catalyst Loading (mg cm-2)_1~} => {qualified},0.055205047,0.315315315,0.175078864,0.908681409,35
{Pyrolysis Temperature_700~800} => {qualified},0.067823344,0.380530973,0.178233438,1.096621078,43
{Raman ID/IG Ratio_1.2~} => {qualified},0.072555205,0.4,0.181388013,1.152727273,46
{qualified} => {Raman ID/IG Ratio_1.2~},0.072555205,0.209090909,0.347003155,1.152727273,46
{Main Transition Metal Content (wt. %)_2~5} => {qualified},0.093059937,0.440298507,0.211356467,1.268860244,59
{qualified} => {Main Transition Metal Content (wt. %)_2~5},0.093059937,0.268181818,0.347003155,1.268860244,59
{Nafion115} => {qualified},0.096214511,0.432624113,0.222397476,1.246744036,61
{qualified} => {Nafion115},0.096214511,0.277272727,0.347003155,1.246744036,61
{Pyrolysis Time (h)_2~4} => {qualified},0.086750789,0.369127517,0.235015773,1.063758389,55
{qualified} => {Pyrolysis Time (h)_2~4},0.086750789,0.25,0.347003155,1.063758389,55
{Fe} => {qualified},0.05362776,0.219354839,0.244479495,0.632140762,34
{Nitrogen Cotent (wt. %)_8~} => {qualified},0.09148265,0.355828221,0.257097792,1.025432236,58
{qualified} => {Nitrogen Cotent (wt. %)_8~},0.09148265,0.263636364,0.347003155,1.025432236,58
{Pyrolysis Temperature_900~1000} => {qualified},0.097791798,0.375757576,0.260252366,1.082865014,62
{qualified} => {Pyrolysis Temperature_900~1000},0.097791798,0.281818182,0.347003155,1.082865014,62
{Carbon Paper} => {qualified},0.083596215,0.321212121,0.260252366,0.925674931,53
{qualified} => {Carbon Paper},0.083596215,0.240909091,0.347003155,0.925674931,53
{Electrode Area cm2_1~} => {qualified},0.088328076,0.331360947,0.266561514,0.954922001,56
{qualified} => {Electrode Area cm2_1~},0.088328076,0.254545455,0.347003155,0.954922001,56
{ZIF or MOF Derived_yes} => {qualified},0.104100946,0.385964912,0.269716088,1.112280702,66
{qualified} => {ZIF or MOF Derived_yes},0.104100946,0.3,0.347003155,1.112280702,66
{Raman ID/IG Ratio_0.8~1} => {qualified},0.082018927,0.282608696,0.29022082,0.814426877,52
{qualified} => {Raman ID/IG Ratio_0.8~1},0.082018927,0.236363636,0.347003155,0.814426877,52
{Rising Rate_~4} => {qualified},0.085173502,0.288770053,0.294952681,0.83218279,54
{qualified} => {Rising Rate_~4},0.085173502,0.245454545,0.347003155,0.83218279,54
{Graphitic N Ratio_25~50} => {qualified},0.09148265,0.300518135,0.304416404,0.866038625,58
{qualified} => {Graphitic N Ratio_25~50},0.09148265,0.263636364,0.347003155,0.866038625,58
{Nitrogen Cotent (wt. %)_0~4} => {qualified},0.09148265,0.297435897,0.307570978,0.857156177,58
{qualified} => {Nitrogen Cotent (wt. %)_0~4},0.09148265,0.263636364,0.347003155,0.857156177,58
{Main Transition Metal Content (wt. %)_0.5~2} => {qualified},0.132492114,0.415841584,0.318611987,1.198379838,84
{qualified} => {Main Transition Metal Content (wt. %)_0.5~2},0.132492114,0.381818182,0.347003155,1.198379838,84
{Pyridinic N Ratio_50~75} => {qualified},0.134069401,0.418719212,0.320189274,1.206672638,85
{qualified} => {Pyridinic N Ratio_50~75},0.134069401,0.386363636,0.347003155,1.206672638,85
{Pyrolysis Time (h)_~1} => {qualified},0.108832808,0.330143541,0.329652997,0.951413658,69
{qualified} => {Pyrolysis Time (h)_~1},0.108832808,0.313636364,0.347003155,0.951413658,69
